Area,Item,Year,Yield,avg_temp,Pesticides,avg_precipitation
Albania,Wheat,2006,30787,15.92,943.61,1485
Albania,Maize,2007,46732,16.67,1006.57,1485
Albania,Potatoes,2007,188902,16.67,1006.57,1485
Albania,Soybeans,2007,20000,16.67,1006.57,1485
Albania,Wheat,2007,35496,16.67,1006.57,1485
Albania,Maize,2008,50000,16.71,1069.54,1485
Albania,Potatoes,2008,193878,16.71,1069.54,1485
Albania,Soybeans,2008,20000,16.71,1069.54,1485
Albania,Wheat,2008,40168,16.71,1069.54,1485
Albania,Maize,2009,55693,16.73,1132.5,1485
Albania,Potatoes,2009,219780,16.73,1132.5,1485
Albania,Soybeans,2009,16667,16.73,1132.5,1485
Albania,Wheat,2009,40229,16.73,1132.5,1485
Albania,Maize,2010,66790,16.52,1311.17,1485
Albania,Potatoes,2010,231111,16.52,1311.17,1485
Albania,Soybeans,2010,16667,16.52,1311.17,1485
Albania,Wheat,2010,39905,16.52,1311.17,1485
Albania,Maize,2011,59869,16.45,1302.63,1485
Albania,Potatoes,2011,242211,16.45,1302.63,1485
Albania,Soybeans,2011,18519,16.45,1302.63,1485
Albania,Wheat,2011,42301,16.45,1302.63,1485
Albania,Maize,2012,67290,16.7,766.25,1485
Albania,Potatoes,2012,250538,16.7,766.25,1485
Albania,Soybeans,2012,13333,16.7,766.25,1485
Albania,Wheat,2012,41096,16.7,766.25,1485
Albania,Maize,2013,69533,17.41,982.32,1485
Albania,Potatoes,2013,260110,17.41,982.32,1485
Albania,Soybeans,2013,10000,17.41,982.32,1485
Albania,Wheat,2013,41292,17.41,982.32,1485
Algeria,Maize,1990,16500,17.48,1828.92,89
Algeria,Potatoes,1990,78936,17.48,1828.92,89
Algeria,"Rice, paddy",1990,28000,17.48,1828.92,89
Algeria,Sorghum,1990,16571,17.48,1828.92,89
Algeria,Wheat,1990,6315,17.48,1828.92,89
Algeria,Maize,1991,19231,16.26,2461.8,89
Algeria,Potatoes,1991,90747,16.26,2461.8,89
Algeria,"Rice, paddy",1991,26786,16.26,2461.8,89
Algeria,Sorghum,1991,24231,16.26,2461.8,89
Algeria,Wheat,1991,10809,16.26,2461.8,89
Algeria,Maize,1992,22828,16.27,1215.47,89
Algeria,Potatoes,1992,107917,16.27,1215.47,89
Algeria,"Rice, paddy",1992,24733,16.27,1215.47,89
Algeria,Sorghum,1992,40000,16.27,1215.47,89
Algeria,Wheat,1992,9939,16.27,1215.47,89
Algeria,Maize,1993,12500,17.0,1021.89,89
Algeria,Potatoes,1993,111215,17.0,1021.89,89
Algeria,"Rice, paddy",1993,23111,17.0,1021.89,89
Algeria,Sorghum,1993,50000,17.0,1021.89,89
Algeria,Wheat,1993,8097,17.0,1021.89,89
Algeria,Maize,1994,4512,17.88,1255.02,89
Algeria,Potatoes,1994,95078,17.88,1255.02,89
Algeria,"Rice, paddy",1994,21374,17.88,1255.02,89
Algeria,Wheat,1994,7999,17.88,1255.02,89
Algeria,Maize,1995,16115,17.36,2697.09,89
Algeria,Potatoes,1995,136768,17.36,2697.09,89
Algeria,"Rice, paddy",1995,19598,17.36,2697.09,89
Algeria,Sorghum,1995,12667,17.36,2697.09,89
Algeria,Wheat,1995,8924,17.36,2697.09,89
Algeria,Maize,1996,17154,16.76,479.77,89
Algeria,Potatoes,1996,134629,16.76,479.77,89
Algeria,"Rice, paddy",1996,17861,16.76,479.77,89
Algeria,Sorghum,1996,14750,16.76,479.77,89
Algeria,Wheat,1996,13090,16.76,479.77,89
Algeria,Maize,1997,21417,17.84,401.22,89
Algeria,Potatoes,1997,141042,17.84,401.22,89
Algeria,"Rice, paddy",1997,15000,17.84,401.22,89
Algeria,Sorghum,1997,40000,17.84,401.22,89
Algeria,Wheat,1997,8016,17.84,401.22,89
Algeria,Maize,1998,17222,17.14,322.84,89
Algeria,Potatoes,1998,160256,17.14,322.84,89
Algeria,"Rice, paddy",1998,15000,17.14,322.84,89
Algeria,Sorghum,1998,24500,17.14,322.84,89
Algeria,Wheat,1998,8847,17.14,322.84,89
Algeria,Maize,1999,22375,17.97,654.45,89
Algeria,Potatoes,1999,153532,17.97,654.45,89
Algeria,"Rice, paddy",1999,13942,17.97,654.45,89
Algeria,Sorghum,1999,27000,17.97,654.45,89
Algeria,Wheat,1999,10711,17.97,654.45,89
Algeria,Maize,2000,36186,17.9,603.67,89
Algeria,Potatoes,2000,166143,17.9,603.67,89
Algeria,"Rice, paddy",2000,13052,17.9,603.67,89
Algeria,Sorghum,2000,69500,17.9,603.67,89
Algeria,Wheat,2000,9194,17.9,603.67,89
Algeria,Maize,2001,27175,18.13,710.11,89
Algeria,Potatoes,2001,147018,18.13,710.11,89
Algeria,"Rice, paddy",2001,12314,18.13,710.11,89
Algeria,Sorghum,2001,27750,18.13,710.11,89
Algeria,Wheat,2001,11104,18.13,710.11,89
Algeria,Maize,2002,33480,17.85,816.55,89
Algeria,Potatoes,2002,183774,17.85,816.55,89
Algeria,"Rice, paddy",2002,12959,17.85,816.55,89
Algeria,Sorghum,2002,33900,17.85,816.55,89
Algeria,Wheat,2002,10739,17.85,816.55,89
Algeria,Maize,2004,31729,17.38,3747.86,89
Algeria,Potatoes,2004,203585,17.38,3747.86,89
Algeria,"Rice, paddy",2004,12829,17.38,3747.86,89
Algeria,Sorghum,2004,43316,17.38,3747.86,89
Algeria,Wheat,2004,13582,17.38,3747.86,89
Algeria,Maize,2005,33864,17.19,3662.87,89
Algeria,Potatoes,2005,216267,17.19,3662.87,89
Algeria,"Rice, paddy",2005,12998,17.19,3662.87,89
Algeria,Sorghum,2005,33486,17.19,3662.87,89
Algeria,Wheat,2005,15057,17.19,3662.87,89
Algeria,Maize,2006,65668,18.13,4110.72,89
Algeria,Potatoes,2006,220689,18.13,4110.72,89
Algeria,"Rice, paddy",2006,12769,18.13,4110.72,89
Algeria,Sorghum,2006,56728,18.13,4110.72,89
Algeria,Wheat,2006,15068,18.13,4110.72,89
Algeria,Maize,2007,85625,17.42,5390.79,89
Algeria,Potatoes,2007,189927,17.42,5390.79,89
Algeria,"Rice, paddy",2007,13375,17.42,5390.79,89
Algeria,Sorghum,2007,119059,17.42,5390.79,89
Algeria,Wheat,2007,12742,17.42,5390.79,89
Algeria,Maize,2008,44714,17.55,11556.12,89
Algeria,Potatoes,2008,236393,17.55,11556.12,89
Algeria,"Rice, paddy",2008,13952,17.55,11556.12,89
Algeria,Sorghum,2008,61786,17.55,11556.12,89
Algeria,Wheat,2008,11038,17.55,11556.12,89
Algeria,Maize,2009,30914,17.78,3867.99,89
Algeria,Potatoes,2009,250764,17.78,3867.99,89
Algeria,"Rice, paddy",2009,14594,17.78,3867.99,89
Algeria,Sorghum,2009,90465,17.78,3867.99,89
Algeria,Wheat,2009,15975,17.78,3867.99,89
Algeria,Maize,2010,25827,17.59,1295.88,89
Algeria,Potatoes,2010,270526,17.59,1295.88,89
Algeria,"Rice, paddy",2010,15305,17.59,1295.88,89
Algeria,Sorghum,2010,30286,17.59,1295.88,89
Algeria,Wheat,2010,14838,17.59,1295.88,89
Algeria,Maize,2011,23374,17.79,13861.76,89
Algeria,Potatoes,2011,292806,17.79,13861.76,89
Algeria,"Rice, paddy",2011,16081,17.79,13861.76,89
Algeria,Sorghum,2011,100000,17.79,13861.76,89
Algeria,Wheat,2011,17405,17.79,13861.76,89
Algeria,Maize,2012,25583,17.91,17379.76,89
Algeria,Potatoes,2012,304291,17.91,17379.76,89
Algeria,"Rice, paddy",2012,16667,17.91,17379.76,89
Algeria,Sorghum,2012,206000,17.91,17379.76,89
Algeria,Wheat,2012,17639,17.91,17379.76,89
Algeria,Maize,2013,33649,17.65,17278.65,89
Algeria,Potatoes,2013,303218,17.65,17278.65,89
Algeria,"Rice, paddy",2013,17778,17.65,17278.65,89
Algeria,Sorghum,2013,60000,17.65,17278.65,89
Algeria,Wheat,2013,19100,17.65,17278.65,89
Angola,Cassava,1990,41177,24.12,64.0,1010
Angola,Maize,1990,2736,24.12,64.0,1010
Angola,Potatoes,1990,40000,24.12,64.0,1010
Angola,"Rice, paddy",1990,9512,24.12,64.0,1010
Angola,Sweet potatoes,1990,89342,24.12,64.0,1010
Angola,Wheat,1990,7995,24.12,64.0,1010
Angola,Cassava,1991,40295,24.02,79.0,1010
Angola,Maize,1991,4013,24.02,79.0,1010
Angola,Potatoes,1991,40000,24.02,79.0,1010
Angola,"Rice, paddy",1991,10000,24.02,79.0,1010
Angola,Sweet potatoes,1991,83001,24.02,79.0,1010
Angola,Wheat,1991,8000,24.02,79.0,1010
Angola,Cassava,1992,42295,23.96,23.0,1010
Angola,Maize,1992,3778,23.96,23.0,1010
Angola,Potatoes,1992,40000,23.96,23.0,1010
Angola,"Rice, paddy",1992,9106,23.96,23.0,1010
Angola,Sweet potatoes,1992,90000,23.96,23.0,1010
Angola,Wheat,1992,8000,23.96,23.0,1010
Angola,Cassava,1993,42295,24.15,169.0,1010
Angola,Maize,1993,2627,24.15,169.0,1010
Angola,Potatoes,1993,70000,24.15,169.0,1010
Angola,"Rice, paddy",1993,8000,24.15,169.0,1010
Angola,Sweet potatoes,1993,88095,24.15,169.0,1010
Angola,Wheat,1993,8876,24.15,169.0,1010
Angola,Cassava,1994,58596,24.04,25.5,1010
Angola,Maize,1994,2463,24.04,25.5,1010
Angola,Potatoes,1994,90000,24.04,25.5,1010
Angola,"Rice, paddy",1994,8750,24.04,25.5,1010
Angola,Sweet potatoes,1994,83192,24.04,25.5,1010
Angola,Wheat,1994,10000,24.04,25.5,1010
Angola,Cassava,1995,51000,24.56,336.0,1010
Angola,Maize,1995,3517,24.56,336.0,1010
Angola,Potatoes,1995,76738,24.56,336.0,1010
Angola,"Rice, paddy",1995,14615,24.56,336.0,1010
Angola,Sweet potatoes,1995,81138,24.56,336.0,1010
Angola,Wheat,1995,11855,24.56,336.0,1010
Angola,Cassava,1996,48077,24.11,40.0,1010
Angola,Maize,1996,6993,24.11,40.0,1010
Angola,Potatoes,1996,70000,24.11,40.0,1010
Angola,"Rice, paddy",1996,17500,24.11,40.0,1010
Angola,Sweet potatoes,1996,85455,24.11,40.0,1010
Angola,Wheat,1996,13738,24.11,40.0,1010
Angola,Cassava,1997,44205,24.06,40.0,1010
Angola,Maize,1997,5959,24.06,40.0,1010
Angola,Potatoes,1997,68571,24.06,40.0,1010
Angola,"Rice, paddy",1997,20000,24.06,40.0,1010
Angola,Sweet potatoes,1997,78098,24.06,40.0,1010
Angola,Wheat,1997,15509,24.06,40.0,1010
Angola,Cassava,1998,55728,24.96,40.0,1010
Angola,Maize,1998,7396,24.96,40.0,1010
Angola,Potatoes,1998,62724,24.96,40.0,1010
Angola,"Rice, paddy",1998,20000,24.96,40.0,1010
Angola,Sweet potatoes,1998,76256,24.96,40.0,1010
Angola,Wheat,1998,17143,24.96,40.0,1010
Angola,Cassava,1999,59821,24.37,40.0,1010
Angola,Maize,1999,6361,24.37,40.0,1010
Angola,Potatoes,1999,54597,24.37,40.0,1010
Angola,"Rice, paddy",1999,14235,24.37,40.0,1010
Angola,Sweet potatoes,1999,82865,24.37,40.0,1010
Angola,Wheat,1999,17391,24.37,40.0,1010
Angola,Cassava,2000,82992,24.41,40.0,1010
Angola,Maize,2000,5745,24.41,40.0,1010
Angola,Potatoes,2000,29885,24.41,40.0,1010
Angola,"Rice, paddy",2000,13454,24.41,40.0,1010
Angola,Sorghum,2000,3333,24.41,40.0,1010
Angola,Soybeans,2000,2333,24.41,40.0,1010
Angola,Sweet potatoes,2000,34938,24.41,40.0,1010
Angola,Wheat,2000,17023,24.41,40.0,1010
Angola,Cassava,2001,94072,24.43,40.0,1010
Angola,Maize,2001,5754,24.43,40.0,1010
Angola,Potatoes,2001,42552,24.43,40.0,1010
Angola,"Rice, paddy",2001,13701,24.43,40.0,1010
Angola,Sorghum,2001,3571,24.43,40.0,1010
Angola,Soybeans,2001,2500,24.43,40.0,1010
Angola,Sweet potatoes,2001,44458,24.43,40.0,1010
Angola,Wheat,2001,16667,24.43,40.0,1010
Angola,Cassava,2002,110071,24.79,40.0,1010
Angola,Maize,2002,6706,24.79,40.0,1010
Angola,Potatoes,2002,42754,24.79,40.0,1010
Angola,"Rice, paddy",2002,13198,24.79,40.0,1010
Angola,Sorghum,2002,3400,24.79,40.0,1010
Angola,Soybeans,2002,2857,24.79,40.0,1010
Angola,Sweet potatoes,2002,42190,24.79,40.0,1010
Angola,Wheat,2002,15455,24.79,40.0,1010
Angola,Cassava,2004,125605,24.22,40.0,1010
Angola,Maize,2004,5404,24.22,40.0,1010
Angola,Potatoes,2004,20150,24.22,40.0,1010
Angola,"Rice, paddy",2004,11584,24.22,40.0,1010
Angola,Sorghum,2004,3333,24.22,40.0,1010
Angola,Soybeans,2004,3600,24.22,40.0,1010
Angola,Sweet potatoes,2004,45360,24.22,40.0,1010
Angola,Wheat,2004,12442,24.22,40.0,1010
Angola,Cassava,2005,117628,24.41,40.0,1010
Angola,Maize,2005,6736,24.41,40.0,1010
Angola,Potatoes,2005,23646,24.41,40.0,1010
Angola,"Rice, paddy",2005,6977,24.41,40.0,1010
Angola,Sorghum,2005,3333,24.41,40.0,1010
Angola,Soybeans,2005,3793,24.41,40.0,1010
Angola,Sweet potatoes,2005,46159,24.41,40.0,1010
Angola,Wheat,2005,10946,24.41,40.0,1010
Angola,Cassava,2006,117201,24.14,40.0,1010
Angola,Maize,2006,4687,24.14,40.0,1010
Angola,Potatoes,2006,52148,24.14,40.0,1010
Angola,"Rice, paddy",2006,4947,24.14,40.0,1010
Angola,Sorghum,2006,4091,24.14,40.0,1010
Angola,Soybeans,2006,4286,24.14,40.0,1010
Angola,Sweet potatoes,2006,44240,24.14,40.0,1010
Angola,Wheat,2006,10000,24.14,40.0,1010
Angola,Cassava,2007,115387,24.24,40.0,1010
Angola,Maize,2007,5091,24.24,40.0,1010
Angola,Potatoes,2007,62138,24.24,40.0,1010
Angola,"Rice, paddy",2007,5143,24.24,40.0,1010
Angola,Sorghum,2007,4031,24.24,40.0,1010
Angola,Soybeans,2007,6883,24.24,40.0,1010
Angola,Sweet potatoes,2007,58855,24.24,40.0,1010
Angola,Wheat,2007,10000,24.24,40.0,1010
Angola,Cassava,2008,148084,24.27,40.0,1010
Angola,Maize,2008,7946,24.27,40.0,1010
Angola,Potatoes,2008,85085,24.27,40.0,1010
Angola,"Rice, paddy",2008,5084,24.27,40.0,1010
Angola,Sorghum,2008,929,24.27,40.0,1010
Angola,Soybeans,2008,8575,24.27,40.0,1010
Angola,Sweet potatoes,2008,65437,24.27,40.0,1010
Angola,Wheat,2008,10000,24.27,40.0,1010
Angola,Cassava,2009,151759,24.33,40.0,1010
Angola,Maize,2009,6614,24.33,40.0,1010
Angola,Potatoes,2009,86509,24.33,40.0,1010
Angola,"Rice, paddy",2009,6028,24.33,40.0,1010
Angola,Sorghum,2009,2480,24.33,40.0,1010
Angola,Soybeans,2009,4449,24.33,40.0,1010
Angola,Sweet potatoes,2009,66475,24.33,40.0,1010
Angola,Wheat,2009,10000,24.33,40.0,1010
Angola,Cassava,2010,155782,24.44,40.0,1010
Angola,Maize,2010,7200,24.44,40.0,1010
Angola,Potatoes,2010,87425,24.44,40.0,1010
Angola,"Rice, paddy",2010,7403,24.44,40.0,1010
Angola,Sorghum,2010,2814,24.44,40.0,1010
Angola,Soybeans,2010,4446,24.44,40.0,1010
Angola,Sweet potatoes,2010,63001,24.44,40.0,1010
Angola,Wheat,2010,10526,24.44,40.0,1010
Angola,Cassava,2011,133649,24.15,40.0,1010
Angola,Maize,2011,7376,24.15,40.0,1010
Angola,Potatoes,2011,81366,24.15,40.0,1010
Angola,"Rice, paddy",2011,8914,24.15,40.0,1010
Angola,Sorghum,2011,3320,24.15,40.0,1010
Angola,Soybeans,2011,5294,24.15,40.0,1010
Angola,Sweet potatoes,2011,65512,24.15,40.0,1010
Angola,Wheat,2011,10959,24.15,40.0,1010
Angola,Cassava,2012,100073,24.24,40.0,1010
Angola,Maize,2012,7770,24.24,40.0,1010
Angola,Potatoes,2012,69381,24.24,40.0,1010
Angola,"Rice, paddy",2012,7703,24.24,40.0,1010
Angola,Sorghum,2012,998,24.24,40.0,1010
Angola,Soybeans,2012,1641,24.24,40.0,1010
Angola,Sweet potatoes,2012,52954,24.24,40.0,1010
Angola,Wheat,2012,11258,24.24,40.0,1010
Angola,Cassava,2013,140517,24.55,40.0,1010
Angola,Maize,2013,9467,24.55,40.0,1010
Angola,Potatoes,2013,63303,24.55,40.0,1010
Angola,"Rice, paddy",2013,12744,24.55,40.0,1010
Angola,Sorghum,2013,2415,24.55,40.0,1010
Angola,Soybeans,2013,4405,24.55,40.0,1010
Angola,Sweet potatoes,2013,73409,24.55,40.0,1010
Angola,Wheat,2013,9022,24.55,40.0,1010
Argentina,Cassava,1990,100000,17.46,26156.0,591
Argentina,Cassava,1990,100000,17.67,26156.0,591
Argentina,Maize,1990,34608,17.46,26156.0,591
Argentina,Maize,1990,34608,17.67,26156.0,591
Argentina,Potatoes,1990,202747,17.46,26156.0,591
Argentina,Potatoes,1990,202747,17.67,26156.0,591
Argentina,"Rice, paddy",1990,36709,17.46,26156.0,591
Argentina,"Rice, paddy",1990,36709,17.67,26156.0,591
Argentina,Sorghum,1990,28116,17.46,26156.0,591
Argentina,Sorghum,1990,28116,17.67,26156.0,591
Argentina,Soybeans,1990,21566,17.46,26156.0,591
Argentina,Soybeans,1990,21566,17.67,26156.0,591
Argentina,Sweet potatoes,1990,131864,17.46,26156.0,591
Argentina,Sweet potatoes,1990,131864,17.67,26156.0,591
Argentina,Wheat,1990,18947,17.46,26156.0,591
Argentina,Wheat,1990,18947,17.67,26156.0,591
Argentina,Cassava,1991,100000,17.64,26156.0,591
Argentina,Cassava,1991,100000,17.86,26156.0,591
Argentina,Maize,1991,40444,17.64,26156.0,591
Argentina,Maize,1991,40444,17.86,26156.0,591
Argentina,Potatoes,1991,205692,17.64,26156.0,591
Argentina,Potatoes,1991,205692,17.86,26156.0,591
Argentina,"Rice, paddy",1991,40294,17.64,26156.0,591
Argentina,"Rice, paddy",1991,40294,17.86,26156.0,591
Argentina,Sorghum,1991,33320,17.64,26156.0,591
Argentina,Sorghum,1991,33320,17.86,26156.0,591
Argentina,Soybeans,1991,22750,17.64,26156.0,591
Argentina,Soybeans,1991,22750,17.86,26156.0,591
Argentina,Sweet potatoes,1991,131364,17.64,26156.0,591
Argentina,Sweet potatoes,1991,131364,17.86,26156.0,591
Argentina,Wheat,1991,18972,17.64,26156.0,591
Argentina,Wheat,1991,18972,17.86,26156.0,591
Argentina,Cassava,1992,100000,17.09,26156.0,591
Argentina,Cassava,1992,100000,17.51,26156.0,591
Argentina,Maize,1992,45237,17.09,26156.0,591
Argentina,Maize,1992,45237,17.51,26156.0,591
Argentina,Potatoes,1992,199039,17.09,26156.0,591
Argentina,Potatoes,1992,199039,17.51,26156.0,591
Argentina,"Rice, paddy",1992,52075,17.09,26156.0,591
Argentina,"Rice, paddy",1992,52075,17.51,26156.0,591
Argentina,Sorghum,1992,36217,17.09,26156.0,591
Argentina,Sorghum,1992,36217,17.51,26156.0,591
Argentina,Soybeans,1992,22915,17.09,26156.0,591
Argentina,Soybeans,1992,22915,17.51,26156.0,591
Argentina,Sweet potatoes,1992,127273,17.09,26156.0,591
Argentina,Sweet potatoes,1992,127273,17.51,26156.0,591
Argentina,Wheat,1992,21809,17.09,26156.0,591
Argentina,Wheat,1992,21809,17.51,26156.0,591
Argentina,Cassava,1993,100000,17.32,26156.0,591
Argentina,Cassava,1993,100000,17.53,26156.0,591
Argentina,Maize,1993,43552,17.32,26156.0,591
Argentina,Maize,1993,43552,17.53,26156.0,591
Argentina,Potatoes,1993,210314,17.32,26156.0,591
Argentina,Potatoes,1993,210314,17.53,26156.0,591
Argentina,"Rice, paddy",1993,43559,17.32,26156.0,591
Argentina,"Rice, paddy",1993,43559,17.53,26156.0,591
Argentina,Sorghum,1993,39529,17.32,26156.0,591
Argentina,Sorghum,1993,39529,17.53,26156.0,591
Argentina,Soybeans,1993,21589,17.32,26156.0,591
Argentina,Soybeans,1993,21589,17.53,26156.0,591
Argentina,Sweet potatoes,1993,122955,17.32,26156.0,591
Argentina,Sweet potatoes,1993,122955,17.53,26156.0,591
Argentina,Wheat,1993,23272,17.32,26156.0,591
Argentina,Wheat,1993,23272,17.53,26156.0,591
Argentina,Cassava,1994,100000,18.17,30195.0,591
Argentina,Cassava,1994,100000,18.31,30195.0,591
Argentina,Maize,1994,42371,18.17,30195.0,591
Argentina,Maize,1994,42371,18.31,30195.0,591
Argentina,Potatoes,1994,230166,18.17,30195.0,591
Argentina,Potatoes,1994,230166,18.31,30195.0,591
Argentina,"Rice, paddy",1994,42989,18.17,30195.0,591
Argentina,"Rice, paddy",1994,42989,18.31,30195.0,591
Argentina,Sorghum,1994,35065,18.17,30195.0,591
Argentina,Sorghum,1994,35065,18.31,30195.0,591
Argentina,Soybeans,1994,20386,18.17,30195.0,591
Argentina,Soybeans,1994,20386,18.31,30195.0,591
Argentina,Sweet potatoes,1994,176667,18.17,30195.0,591
Argentina,Sweet potatoes,1994,176667,18.31,30195.0,591
Argentina,Wheat,1994,20237,18.17,30195.0,591
Argentina,Wheat,1994,20237,18.31,30195.0,591
Argentina,Cassava,1995,100000,17.74,37842.0,591
Argentina,Cassava,1995,100000,17.62,37842.0,591
Argentina,Maize,1995,45223,17.74,37842.0,591
Argentina,Maize,1995,45223,17.62,37842.0,591
Argentina,Potatoes,1995,274272,17.74,37842.0,591
Argentina,Potatoes,1995,274272,17.62,37842.0,591
Argentina,"Rice, paddy",1995,50306,17.74,37842.0,591
Argentina,"Rice, paddy",1995,50306,17.62,37842.0,591
Argentina,Sorghum,1995,34588,17.74,37842.0,591
Argentina,Sorghum,1995,34588,17.62,37842.0,591
Argentina,Soybeans,1995,20446,17.74,37842.0,591
Argentina,Soybeans,1995,20446,17.62,37842.0,591
Argentina,Sweet potatoes,1995,168000,17.74,37842.0,591
Argentina,Sweet potatoes,1995,168000,17.62,37842.0,591
Argentina,Wheat,1995,21675,17.74,37842.0,591
Argentina,Wheat,1995,21675,17.62,37842.0,591
Argentina,Cassava,1996,100000,17.64,54595.0,591
Argentina,Cassava,1996,100000,17.97,54595.0,591
Argentina,Maize,1996,40397,17.64,54595.0,591
Argentina,Maize,1996,40397,17.97,54595.0,591
Argentina,Potatoes,1996,228877,17.64,54595.0,591
Argentina,Potatoes,1996,228877,17.97,54595.0,591
Argentina,"Rice, paddy",1996,51031,17.64,54595.0,591
Argentina,"Rice, paddy",1996,51031,17.97,54595.0,591
Argentina,Sorghum,1996,38763,17.64,54595.0,591
Argentina,Sorghum,1996,38763,17.97,54595.0,591
Argentina,Soybeans,1996,21051,17.64,54595.0,591
Argentina,Soybeans,1996,21051,17.97,54595.0,591
Argentina,Sweet potatoes,1996,170000,17.64,54595.0,591
Argentina,Sweet potatoes,1996,170000,17.97,54595.0,591
Argentina,Wheat,1996,19344,17.64,54595.0,591
Argentina,Wheat,1996,19344,17.97,54595.0,591
Argentina,Cassava,1997,100000,18.29,77691.0,591
Argentina,Cassava,1997,100000,18.54,77691.0,591
Argentina,Maize,1997,45557,18.29,77691.0,591
Argentina,Maize,1997,45557,18.54,77691.0,591
Argentina,Potatoes,1997,268502,18.29,77691.0,591
Argentina,Potatoes,1997,268502,18.54,77691.0,591
Argentina,"Rice, paddy",1997,53703,18.29,77691.0,591
Argentina,"Rice, paddy",1997,53703,18.54,77691.0,591
Argentina,Sorghum,1997,36845,18.29,77691.0,591
Argentina,Sorghum,1997,36845,18.54,77691.0,591
Argentina,Soybeans,1997,17212,18.29,77691.0,591
Argentina,Soybeans,1997,17212,18.54,77691.0,591
Argentina,Sweet potatoes,1997,145662,18.29,77691.0,591
Argentina,Sweet potatoes,1997,145662,18.54,77691.0,591
Argentina,Wheat,1997,22426,18.29,77691.0,591
Argentina,Wheat,1997,22426,18.54,77691.0,591
Argentina,Cassava,1998,100000,17.23,62397.0,591
